Comparison,Range,Min_Conn,Max_Conn,Mean_Delta_%,Max_Delta_%,Min_Delta_%,Std_Delta_%,Pages_Up,Pages_Down,Pages_Neutral,Total_Pages,Duration_m
240_high_updated_link_graph_6,Range_35-65,35,65,1.9015218611128772,545.7709341441694,-85.99574831664442,17.131794019626756,1442,384,15,1841,9.374139841397604
240_high_updated_link_graph_8,Range_35-65,35,65,1.8948602231655522,545.77307065828,-85.99571588034107,17.117892658918237,1442,384,15,1841,9.315238531430563
240_high_updated_link_graph_5,Range_35-65,35,65,1.8935250536720756,545.7712974828853,-85.99541726499537,17.12931707643741,1438,384,19,1841,9.287105373541515
240_high_updated_link_graph_10,Range_35-65,35,65,1.8919433802772976,545.7761423799564,-85.99569433676648,17.11419740234118,1444,378,19,1841,9.278862623373668
240_high_updated_link_graph_4,Range_35-65,35,65,1.8902341000165312,545.7736934884072,-85.99526401883644,17.111357454027356,1447,377,17,1841,9.30557584365209
240_high_updated_link_graph_9,Range_35-65,35,65,1.8840693662160122,545.7736065862418,-85.9951622196716,17.111884167036177,1449,376,16,1841,9.303828581174214
240_high_updated_link_graph_3,Range_35-65,35,65,1.880226047887607,545.7750634135541,-85.99498893946817,17.113259818183074,1450,373,18,1841,9.55175477663676
240_high_updated_link_graph_7,Range_35-65,35,65,1.862415443179357,545.7724662789557,-85.99632903522651,17.110871737325333,1436,387,18,1841,9.341635413964589
240_high_updated_link_graph_1,Range_35-65,35,65,1.8550577685262097,545.7708701133822,-85.99586376275114,17.117756285971048,1438,387,16,1841,9.281403152147929
240_high_updated_link_graph_2,Range_35-65,35,65,1.8433548343601913,545.7755031699908,-85.9950004631813,17.10419713788867,1441,384,16,1841,9.467118577162426
