name,range_name,min_connections,max_connections,duration,mean,max,min,std,pages_up,pages_down,pages_neutral,total_pages,num_simulations
240_low_updated_link_graph_6,Range_65-95,65,95,176.03988575935364,2.3860834,497.04877,-83.45343,21.017979,1443,386,12,1841,100
240_low_updated_link_graph_1,Range_65-95,65,95,175.90409564971924,2.3315666,497.0486,-83.45324,20.817247,1453,374,14,1841,100
240_low_updated_link_graph_3,Range_65-95,65,95,176.80828070640564,2.327945,497.0483,-83.4533,20.846107,1449,382,10,1841,100
240_low_updated_link_graph_10,Range_65-95,65,95,177.28695225715637,2.3201966,497.05136,-83.45324,20.776215,1449,377,15,1841,100
240_low_updated_link_graph_4,Range_65-95,65,95,176.819983959198,2.3135586,497.0512,-83.45323,20.780062,1459,371,11,1841,100
240_low_updated_link_graph_8,Range_65-95,65,95,175.36601161956787,2.303686,497.05142,-83.45332,20.760883,1462,370,9,1841,100
240_low_updated_link_graph_2,Range_65-95,65,95,176.13685488700867,2.2954397,497.04706,-83.453156,20.804888,1451,378,12,1841,100
240_low_updated_link_graph_5,Range_65-95,65,95,176.29053139686584,2.271261,497.0531,-83.45321,20.767502,1452,378,11,1841,100
240_low_updated_link_graph_9,Range_65-95,65,95,173.05532550811768,2.2669284,497.05038,-83.45332,20.751503,1448,374,19,1841,100
240_low_updated_link_graph_7,Range_65-95,65,95,176.43051981925964,2.2640045,497.0501,-83.45332,20.745672,1456,377,8,1841,100
