name,range_name,min_connections,max_connections,duration,mean,max,min,std,pages_up,pages_down,pages_neutral,total_pages,num_simulations
240_folder_updated_link_graph_4,Range_65-95,65,95,172.98227429389954,2.368557,497.18323,-83.38467,20.92739,1491,337,13,1841,100
240_folder_updated_link_graph_7,Range_65-95,65,95,173.64328980445862,2.3600428,497.1132,-83.45111,20.960577,1494,337,10,1841,100
240_folder_updated_link_graph_5,Range_65-95,65,95,174.76884031295776,2.3329134,497.2594,-83.392876,20.902111,1492,332,17,1841,100
240_folder_updated_link_graph_1,Range_65-95,65,95,175.20244193077087,2.2870362,497.21356,-83.394646,20.886454,1482,344,15,1841,100
240_folder_updated_link_graph_9,Range_65-95,65,95,171.19103026390076,2.2779784,497.362,-83.45106,20.992199,1468,357,16,1841,100
240_folder_updated_link_graph_8,Range_65-95,65,95,175.51246547698975,2.2685742,497.1204,-83.45197,20.922234,1469,358,14,1841,100
240_folder_updated_link_graph_3,Range_65-95,65,95,178.46920204162598,2.23622,497.2191,-83.45168,20.875244,1480,347,14,1841,100
240_folder_updated_link_graph_2,Range_65-95,65,95,178.4427728652954,2.224271,497.20865,-83.4514,20.862404,1470,359,12,1841,100
240_folder_updated_link_graph_10,Range_65-95,65,95,177.42571473121643,2.223238,497.11148,-83.451584,20.828163,1484,347,10,1841,100
240_folder_updated_link_graph_6,Range_65-95,65,95,176.02013731002808,2.1969552,497.1149,-83.450745,20.83347,1478,350,13,1841,100
