Comparison,Range,Min_Conn,Max_Conn,Mean_Delta_%,Max_Delta_%,Min_Delta_%,Std_Delta_%,Pages_Up,Pages_Down,Pages_Neutral,Total_Pages,Duration_m
240_random_updated_link_graph_6,Range_5-35,5,35,1.289782423822519,547.0810146298801,-85.99590245206703,11.479512381113322,1324,443,74,1841,8.666861883799235
240_random_updated_link_graph_4,Range_5-35,5,35,1.2500883002081367,582.3156299975517,-85.995488804559,11.685188681211422,1323,443,75,1841,8.212349836031596
240_random_updated_link_graph_1,Range_5-35,5,35,1.2460858993034076,546.95594072845,-85.99558845699258,11.708507966857425,1305,459,77,1841,8.892400097846984
240_random_updated_link_graph_8,Range_5-35,5,35,1.242999096569384,547.0110973453578,-85.99580013148133,11.452393589504489,1379,404,58,1841,8.605811961491902
240_random_updated_link_graph_2,Range_5-35,5,35,1.2315941307945328,564.1438044997758,-85.99608024290852,11.404932374540454,1331,445,65,1841,8.537158787250519
240_random_updated_link_graph_3,Range_5-35,5,35,1.2307304526130851,555.163272404212,-85.99556745038164,11.569487374679277,1326,443,72,1841,8.605727144082387
240_random_updated_link_graph_10,Range_5-35,5,35,1.2300235866622409,546.9396064699224,-85.99565889411555,11.568778433416323,1310,461,70,1841,8.567098911603292
240_random_updated_link_graph_9,Range_5-35,5,35,1.2040727902096124,557.9621725625972,-85.99590123028715,11.343623274323493,1345,430,66,1841,8.617522156238556
240_random_updated_link_graph_7,Range_5-35,5,35,1.1863203332663155,547.8975382705725,-85.99568661678715,11.443754070908943,1313,459,69,1841,8.548933207988739
240_random_updated_link_graph_5,Range_5-35,5,35,1.1340734547925941,560.5360727315627,-85.9961134801483,11.448300611617116,1286,481,74,1841,8.383577613035838
