name,range_name,min_connections,max_connections,duration,mean,max,min,std,pages_up,pages_down,pages_neutral,total_pages,num_simulations
240_mixed_updated_link_graph_8,Range_35-65,35,65,172.25426602363586,1.8453913,497.17435,-83.45449,16.751333,1330,486,25,1841,100
240_mixed_updated_link_graph_9,Range_35-65,35,65,169.1282787322998,1.8337634,497.174,-83.454735,16.784285,1321,498,22,1841,100
240_mixed_updated_link_graph_7,Range_35-65,35,65,169.34068655967712,1.8289614,497.1746,-83.454544,16.728437,1330,489,22,1841,100
240_mixed_updated_link_graph_2,Range_35-65,35,65,164.67453002929688,1.8194249,497.17474,-83.454506,16.682257,1329,494,18,1841,100
240_mixed_updated_link_graph_10,Range_35-65,35,65,164.2531909942627,1.8097688,497.17453,-83.45452,16.812992,1330,494,17,1841,100
240_mixed_updated_link_graph_5,Range_35-65,35,65,173.5480251312256,1.8067684,497.17715,-83.45452,16.658989,1338,481,22,1841,100
240_mixed_updated_link_graph_4,Range_35-65,35,65,168.10065460205078,1.8028505,497.1755,-83.45452,16.654325,1343,475,23,1841,100
240_mixed_updated_link_graph_1,Range_35-65,35,65,167.75678300857544,1.8008687,497.17697,-83.45454,16.66136,1335,481,25,1841,100
240_mixed_updated_link_graph_6,Range_35-65,35,65,170.92092061042786,1.7871286,497.17538,-83.45455,16.646523,1334,487,20,1841,100
240_mixed_updated_link_graph_3,Range_35-65,35,65,164.73725008964539,1.7613989,497.1779,-83.45462,16.622957,1342,477,22,1841,100
